
> rafiky-frontend@0.1.0 dev
> next dev

▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.6:3000
- Environments: .env.local
✓ Ready in 1824ms
✓ Running next.config.ts took 73ms

 GET /en/teacher/today 200 in 150ms (next.js: 15ms, proxy.ts: 10ms, generate-params: 12ms, application-code: 113ms)
 POST /en/sign-up 200 in 79ms (next.js: 5ms, proxy.ts: 4ms, generate-params: 10ms, application-code: 60ms)
 GET /en/teacher/today 200 in 142ms (next.js: 6ms, proxy.ts: 12ms, generate-params: 12ms, application-code: 112ms)
 POST /en/sign-up 200 in 235ms (next.js: 40ms, proxy.ts: 27ms, generate-params: 36ms, application-code: 133ms)
 GET /en/teacher/today 200 in 484ms (next.js: 19ms, proxy.ts: 34ms, generate-params: 22ms, application-code: 409ms)
 POST /en/sign-up 200 in 175ms (next.js: 11ms, proxy.ts: 12ms, generate-params: 12ms, application-code: 139ms)
 GET /en/teacher/today 200 in 469ms (next.js: 21ms, proxy.ts: 50ms, generate-params: 15ms, application-code: 383ms)
 POST /en/sign-up 200 in 282ms (next.js: 19ms, proxy.ts: 14ms, generate-params: 34ms, application-code: 215ms)
 POST /en/sign-up 200 in 99ms (next.js: 13ms, proxy.ts: 6ms, generate-params: 11ms, application-code: 68ms)
 GET /en/teacher/today 200 in 313ms (next.js: 9ms, proxy.ts: 23ms, generate-params: 15ms, application-code: 266ms)
 POST /en/sign-up 200 in 148ms (next.js: 8ms, proxy.ts: 8ms, generate-params: 14ms, application-code: 119ms)
 POST /en/sign-up 200 in 98ms (next.js: 5ms, proxy.ts: 5ms, generate-params: 9ms, application-code: 79ms)
 POST /en/sign-up 200 in 105ms (next.js: 9ms, proxy.ts: 7ms, generate-params: 27ms, application-code: 61ms)
 POST /en/sign-up 200 in 130ms (next.js: 8ms, proxy.ts: 12ms, generate-params: 20ms, application-code: 90ms)
 POST /en/sign-up 200 in 401ms (next.js: 28ms, proxy.ts: 28ms, generate-params: 26ms, application-code: 319ms)
 POST /en/sign-up 200 in 207ms (next.js: 12ms, proxy.ts: 11ms, generate-params: 19ms, application-code: 164ms)
 POST /en/sign-up 200 in 100ms (next.js: 8ms, proxy.ts: 11ms, generate-params: 15ms, application-code: 66ms)
 POST /en/sign-up 200 in 142ms (next.js: 8ms, proxy.ts: 6ms, generate-params: 13ms, application-code: 115ms)
 POST /en/sign-up 200 in 86ms (next.js: 6ms, proxy.ts: 5ms, generate-params: 11ms, application-code: 64ms)
 POST /en/sign-up 200 in 96ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 11ms, application-code: 74ms)
 POST /en/sign-up 200 in 99ms (next.js: 8ms, proxy.ts: 11ms, generate-params: 13ms, application-code: 67ms)
 POST /en/sign-up 200 in 77ms (next.js: 4ms, proxy.ts: 6ms, generate-params: 10ms, application-code: 56ms)
 POST /en/sign-up 200 in 309ms (next.js: 46ms, proxy.ts: 33ms, generate-params: 24ms, application-code: 205ms)
 POST /en/sign-up 200 in 75ms (next.js: 4ms, proxy.ts: 3ms, generate-params: 8ms, application-code: 59ms)
 POST /en/sign-up 200 in 84ms (next.js: 5ms, proxy.ts: 4ms, generate-params: 8ms, application-code: 68ms)
 POST /en/sign-up 200 in 96ms (next.js: 15ms, proxy.ts: 10ms, generate-params: 13ms, application-code: 58ms)
 POST /en/sign-up 200 in 102ms (next.js: 7ms, proxy.ts: 19ms, generate-params: 9ms, application-code: 67ms)
 POST /en/sign-up 200 in 84ms (next.js: 5ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 67ms)
 POST /en/sign-up 200 in 159ms (next.js: 11ms, proxy.ts: 8ms, generate-params: 19ms, application-code: 120ms)
 POST /en/sign-up 200 in 517ms (next.js: 34ms, proxy.ts: 25ms, generate-params: 46ms, application-code: 411ms)
